dia_ocu,mes_ocu,año_ocu,hora_ocu,depto_ocu,mupio_ocu,tipo_veh,color_veh,modelo_veh,tipo_accidente,marca_veh
31.0,1.0,2013,14.0,18.0,1804.0,3.0,1.0,9999.0,3.0,99.0
31.0,1.0,2013,14.0,17.0,1708.0,4.0,99.0,9999.0,1.0,99.0
31.0,1.0,2013,11.0,4.0,412.0,1.0,99.0,9999.0,4.0,99.0
31.0,1.0,2013,20.0,4.0,409.0,5.0,2.0,2005.0,1.0,23.0
1.0,2.0,2013,12.0,1.0,101.0,3.0,12.0,1996.0,1.0,99.0
1.0,2.0,2013,9.0,1.0,101.0,1.0,2.0,9999.0,1.0,34.0
1.0,2.0,2013,1.0,9.0,917.0,6.0,1.0,9999.0,2.0,15.0
2.0,2.0,2013,6.0,1.0,101.0,1.0,2.0,1999.0,1.0,21.0
2.0,2.0,2013,7.0,1.0,101.0,12.0,3.0,2010.0,1.0,33.0
2.0,2.0,2013,8.0,1.0,101.0,4.0,5.0,9999.0,1.0,99.0
2.0,2.0,2013,9.0,1.0,101.0,3.0,5.0,9999.0,1.0,44.0
2.0,2.0,2013,23.0,1.0,101.0,4.0,5.0,9999.0,1.0,2.0
2.0,2.0,2013,11.0,1.0,101.0,4.0,1.0,9999.0,1.0,21.0
2.0,2.0,2013,8.0,1.0,113.0,2.0,2.0,2013.0,1.0,30.0
2.0,2.0,2013,7.0,1.0,102.0,3.0,5.0,9999.0,1.0,44.0
2.0,2.0,2013,22.0,1.0,101.0,1.0,2.0,9999.0,1.0,99.0
2.0,2.0,2013,21.0,1.0,101.0,4.0,5.0,9999.0,3.0,99.0
2.0,2.0,2013,0.0,1.0,101.0,4.0,5.0,9999.0,1.0,99.0
2.0,2.0,2013,13.0,1.0,115.0,4.0,1.0,9999.0,1.0,21.0
2.0,2.0,2013,13.0,5.0,502.0,1.0,2.0,9999.0,3.0,32.0
2.0,2.0,2013,0.0,5.0,501.0,4.0,1.0,9999.0,1.0,40.0
2.0,2.0,2013,21.0,5.0,501.0,4.0,1.0,2006.0,1.0,99.0
2.0,2.0,2013,18.0,10.0,1010.0,3.0,2.0,9999.0,1.0,44.0
2.0,2.0,2013,19.0,11.0,1101.0,3.0,9.0,1986.0,1.0,44.0
2.0,2.0,2013,19.0,9.0,901.0,3.0,3.0,1996.0,1.0,44.0
2.0,2.0,2013,16.0,9.0,920.0,4.0,3.0,2004.0,2.0,21.0
2.0,2.0,2013,0.0,16.0,1601.0,1.0,5.0,1997.0,2.0,32.0
2.0,2.0,2013,8.0,18.0,1805.0,6.0,3.0,1995.0,1.0,15.0
2.0,2.0,2013,8.0,14.0,1408.0,3.0,11.0,1985.0,1.0,44.0
2.0,2.0,2013,14.0,14.0,1412.0,3.0,5.0,1987.0,3.0,44.0
2.0,2.0,2013,11.0,3.0,301.0,1.0,5.0,9999.0,1.0,34.0
2.0,2.0,2013,11.0,3.0,301.0,4.0,3.0,9999.0,1.0,24.0
3.0,2.0,2013,3.0,1.0,101.0,1.0,1.0,2005.0,2.0,12.0
3.0,2.0,2013,0.0,1.0,101.0,1.0,4.0,2004.0,1.0,32.0
3.0,2.0,2013,23.0,1.0,108.0,1.0,2.0,9999.0,1.0,99.0
3.0,2.0,2013,14.0,1.0,110.0,4.0,3.0,2005.0,1.0,42.0
3.0,2.0,2013,14.0,1.0,109.0,1.0,4.0,9999.0,1.0,44.0
3.0,2.0,2013,16.0,1.0,108.0,12.0,1.0,9999.0,2.0,33.0
3.0,2.0,2013,9.0,22.0,2211.0,3.0,5.0,1999.0,3.0,13.0
3.0,2.0,2013,20.0,21.0,2101.0,6.0,2.0,1997.0,1.0,99.0
